student name,student id,student sis,course,course id,course sis,section,section id,section sis,term,term id,term sis,current score,final score,enrollment state,unposted current score,unposted final score,override score,current grade,final grade,unposted current grade,unposted final grade,override grade
Trevor H. Vincent,10091,SYN-JHS-000100,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,72.73,72.73,active,72.73,72.73,,82,82,82,82,
James V. Reed,10087,SYN-JHS-000097,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,90.07,90.07,active,90.07,90.07,,93,93,93,93,
Rebecca K. Barry,10058,SYN-JHS-000073,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,75.86,75.86,active,75.86,75.86,,84,84,84,84,
David H. Kent,10038,SYN-JHS-000048,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,73.7,73.7,active,73.7,73.7,,83,83,83,83,
Adam P. Davis,10071,SYN-JHS-000085,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,0.0,0.0,active,0.0,0.0,,60,60,60,60,
Amber C. Hall,10050,SYN-JHS-000060,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,67.49,67.49,active,67.49,67.49,,79,79,79,79,
Angela J. Flores,10095,SYN-JHS-000104,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,89.27,89.27,active,89.27,89.27,,93,93,93,93,
Paul K. Green,10062,SYN-JHS-000080,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,71.12,71.12,active,71.12,71.12,,81,81,81,81,
Shawn S. Wall,10090,SYN-JHS-000099,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,71.53,71.53,active,71.53,71.53,,82,82,82,82,
Michelle B. Graham,10083,SYN-JHS-000064,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,80.92,80.92,active,80.92,80.92,,88,88,88,88,
Paul M. Walker,10088,SYN-JHS-000098,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,73.85,73.85,active,73.85,73.85,,83,83,83,83,
Stephanie S. Cameron,10064,SYN-JHS-000082,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,73.35,73.35,active,73.35,73.35,,83,83,83,83,
Lauren C. Gibson,10041,SYN-JHS-000051,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,62.35,62.35,active,62.35,62.35,,76,76,76,76,
Megan D. Cameron,10033,SYN-JHS-000043,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,74.49,74.49,active,74.49,74.49,,84,84,84,84,
Thomas J. Young,10084,SYN-JHS-000077,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,82.24,82.24,active,82.24,82.24,,88,88,88,88,
Gregory R. Carpenter,10052,SYN-JHS-000067,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,64.09,64.09,active,64.09,64.09,,77,77,77,77,
Maria M. Swanson,10067,SYN-JHS-000086,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,83.27,83.27,active,83.27,83.27,,89,89,89,89,
Kari T. Porter,10085,SYN-JHS-000078,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,74.93,74.93,active,74.93,74.93,,84,84,84,84,
Virginia K. Peterson,10078,SYN-JHS-000095,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,93.43,93.43,active,93.43,93.43,,95,95,95,95,
Kevin A. Campbell,10040,SYN-JHS-000049,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,84.68,84.68,active,84.68,84.68,,90,90,90,90,
Bradley M. Turner,10072,SYN-JHS-000088,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,0.0,0.0,active,0.0,0.0,,60,60,60,60,
Maria M. Swanson,10067,SYN-JHS-000086,Grade 7 English,20002,SYN-JHS-COURSE-000010,Grade 7 English,20077,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,79.35,79.35,active,79.35,79.35,,87,87,87,87,
Kari T. Porter,10085,SYN-JHS-000078,Grade 7 English,20002,SYN-JHS-COURSE-000010,Grade 7 English,20077,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,50.05,50.05,active,50.05,50.05,,72,72,72,72,
Virginia K. Peterson,10078,SYN-JHS-000095,Grade 7 English,20002,SYN-JHS-COURSE-000010,Grade 7 English,20077,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,93.2,93.2,active,93.2,93.2,,95,95,95,95,
Kevin A. Campbell,10040,SYN-JHS-000049,Grade 7 English,20002,SYN-JHS-COURSE-000010,Grade 7 English,20077,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,80.26,80.26,active,80.26,80.26,,87,87,87,87,
Trevor H. Vincent,10091,SYN-JHS-000100,Grade 7 English,20002,SYN-JHS-COURSE-000010,Grade 7 English,20077,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,72.37,72.37,active,72.37,72.37,,82,82,82,82,
James V. Reed,10087,SYN-JHS-000097,Grade 7 English,20002,SYN-JHS-COURSE-000010,Grade 7 English,20077,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,90.0,90.0,active,90.0,90.0,,93,93,93,93,
Rebecca K. Barry,10058,SYN-JHS-000073,Grade 7 English,20002,SYN-JHS-COURSE-000010,Grade 7 English,20077,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,86.25,86.25,active,86.25,86.25,,91,91,91,91,
