student name,student id,student sis,course,course id,course sis,section,section id,section sis,term,term id,term sis,current score,final score,enrollment state,unposted current score,unposted final score,override score,current grade,final grade,unposted current grade,unposted final grade,override grade
Trevor H. Vincent,10091,SYN-JHS-000100,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,73.22,73.22,active,73.22,73.22,,83,83,83,83,
James V. Reed,10087,SYN-JHS-000097,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,87.87,87.87,active,87.87,87.87,,92,92,92,92,
Rebecca K. Barry,10058,SYN-JHS-000073,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,80.48,80.48,active,80.48,80.48,,87,87,87,87,
David H. Kent,10038,SYN-JHS-000048,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,80.93,80.93,active,80.93,80.93,,88,88,88,88,
Adam P. Davis,10071,SYN-JHS-000085,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,0.0,0.0,active,0.0,0.0,,60,60,60,60,
Amber C. Hall,10050,SYN-JHS-000060,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,64.01,64.01,active,64.01,64.01,,77,77,77,77,
Angela J. Flores,10095,SYN-JHS-000104,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,82.33,82.33,active,82.33,82.33,,88,88,88,88,
Paul K. Green,10062,SYN-JHS-000080,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,63.29,63.29,active,63.29,63.29,,77,77,77,77,
Shawn S. Wall,10090,SYN-JHS-000099,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,60.17,60.17,active,60.17,60.17,,75,75,75,75,
Michelle B. Graham,10083,SYN-JHS-000064,Grade 7 Araling Panlipunan,20001,SYN-JHS-COURSE-000009,Grade 7 Araling Panlipunan,20076,,INST JHS MLA_AY 2023-2024_Annual_Official,20001,SY_2023_JHS_OFFICIAL,70.04,70.04,active,70.04,70.04,,81,81,81,81,
